fragvol.l,fragvol.r,fragvol.h,fragkind,fragsize.l,fragsize.r,fragsize.h,fragshp,fraground,fraghard,chkey,chfragskey
0,0,5,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,60807109,104583289
0,1,5,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,60807109,104583290
0,1,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,60807109,104583291
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Very strongly cemented,60807109,104583292
1,1,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,60807110,104583293
0,1,5,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,60807110,104583294
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Very strongly cemented,60807110,104583295
1,2,8,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,60807110,104583296
1,2,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,60807111,104583297
0,1,2,Mixed rock fragments,250,425,600,Nonflat,Subangular,Very strongly cemented,60807111,104583298
0,1,5,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,60807111,104583299
1,3,10,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,60807111,104583300
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Very strongly cemented,60807112,104583301
0,1,5,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,60807112,104583302
1,2,8,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,60807112,104583303
1,1,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,60807112,104583304
1,1,7,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,60807113,104583305
0,1,2,Mixed rock fragments,250,425,600,Nonflat,Subangular,Very strongly cemented,60807113,104583306
1,3,10,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,60807113,104583307
1,2,6,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,60807113,104583308
1,1,5,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,60807114,104583309
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Very strongly cemented,60807114,104583310
0,1,5,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,60807114,104583311
1,2,8,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,60807114,104583312
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Very strongly cemented,60807115,104583313
0,1,5,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,60807115,104583314
0,1,5,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,60807115,104583315
0,1,5,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,60807115,104583316
1,2,10,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,60807116,104583317
0,1,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Very strongly cemented,60807116,104583318
0,1,5,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,60807116,104583319
1,2,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,60807116,104583320
0,2,5,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,60807117,104583321
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Very strongly cemented,60807117,104583322
1,4,12,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,60807117,104583323
1,2,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,60807117,104583324
0,2,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,60807118,104583325
0,2,5,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,60807118,104583326
1,4,11,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,60807118,104583327
0,1,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,60807119,104583328
0,0,2,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,60807119,104583329
0,2,4,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,60807119,104583330
1,3,8,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,60807120,104583331
1,1,5,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,60807120,104583332
0,1,5,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,60807120,104583333
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subrounded,Very strongly cemented,60807120,104583334
1,1,7,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,60807166,104583496
0,1,2,Mixed rock fragments,250,425,600,Nonflat,Subangular,Very strongly cemented,60807166,104583497
1,3,10,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,60807166,104583498
1,2,6,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,60807166,104583499
0,1,5,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,60807167,104583500
1,2,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,60807167,104583501
1,2,10,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,60807167,104583502
0,1,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Very strongly cemented,60807167,104583503
0,1,5,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,60807168,104583504
0,1,5,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,60807168,104583505
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Very strongly cemented,60807168,104583506
0,1,5,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,60807168,104583507
1,1,5,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,60807169,104583508
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Very strongly cemented,60807169,104583509
0,1,5,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,60807169,104583510
1,2,8,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,60807169,104583511
1,2,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,60807170,104583512
0,1,2,Mixed rock fragments,250,425,600,Nonflat,Subangular,Very strongly cemented,60807170,104583513
0,1,5,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,60807170,104583514
1,3,10,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,60807170,104583515
1,2,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,60807171,104583516
0,1,2,Mixed rock fragments,250,425,600,Nonflat,Subangular,Very strongly cemented,60807171,104583517
0,1,5,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,60807171,104583518
1,3,10,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,60807171,104583519
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Very strongly cemented,60807172,104583520
0,1,5,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,60807172,104583521
1,2,8,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,60807172,104583522
1,1,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,60807172,104583523
1,1,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,60807173,104583524
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Very strongly cemented,60807173,104583525
1,2,8,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,60807173,104583526
0,1,3,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,60807173,104583527
0,1,5,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,60807174,104583528
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Very strongly cemented,60807174,104583529
0,0,2,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,60807174,104583530
0,1,2,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,60807174,104583531
